tripID,startTime,endTime,startStationID,endStationID,start_lat,start_lng,end_lat,end_lng,stationID,type,latitude,longitude,time
C949A228CFDEDF92,2023-09-01 07:39:03,2023-09-01 08:01:48,S32013,M32037,42.397783,-71.10594,42.3625,-71.08822,,,,,
9C8DCCE0182337A0,2023-09-01 07:39:03,2023-09-01 07:53:49,M32012,A32056,42.366426,-71.105495,42.33661,-71.110047,,,,,
DB399310CE0E3CDD,2023-09-01 07:39:12,2023-09-01 07:51:01,A32022,M32019,42.378965,-71.068607,42.367074,-71.076793,,,,,
9499A989DE44E69E,2023-09-01 07:39:12,2023-09-01 07:51:16,S32020,M32016,42.390446,-71.108566,42.372217,-71.121881,,,,,
4F460A4586A17E43,2023-09-01 07:39:14,2023-09-01 07:51:43,S32013,M32033,42.397783,-71.10594,42.396105,-71.139459,,,,,
4F23C1E572C9EC00,2023-09-01 07:39:24,2023-09-01 07:42:49,M32085,M32047,42.363565,-71.100442,42.357753,-71.103934,,,,,
B0A200BD42BADD97,2023-09-01 07:39:31,2023-09-01 07:53:45,M32062,S32006,42.374267,-71.100265,42.396969,-71.123024,,,,,
CA7E6E9154A40B54,2023-09-01 07:39:47,2023-09-01 07:48:19,M32077,M32078,42.371141,-71.076198,42.36642,-71.088542,,,,,
85183AFD797BB0D6,2023-09-01 07:40:12,2023-09-01 07:53:23,M32018,M32006,42.373268,-71.118579,42.3581,-71.093198,,,,,
1FAD9EAAA8DDC42A,2023-09-01 07:40:22,2023-09-01 07:54:13,S32001,M32080,42.386844,-71.09812,42.362902,-71.091567,,,,,
C6E4C974FC31CAD3,2023-09-01 07:40:23,2023-09-01 07:45:31,S32002,M32081,42.379648,-71.095405,42.37308,-71.086342,,,,,
E72DA5ABCBF2BDFA,2023-09-01 07:40:24,2023-09-01 07:58:16,M32024,M32059,42.380287,-71.125107,42.363693,-71.087567,,,,,
519FCEF574A44B4C,2023-09-01 07:41:12,2023-09-01 07:48:58,D32047,M32006,42.351597,-71.075617,42.3581,-71.093198,,,,,
6DEA541B4C41E71C,2023-09-01 07:41:15,2023-09-01 07:53:16,M32084,S32006,42.395222,-71.144219,42.396969,-71.123024,,,,,
7524E2E6A6E52F28,2023-09-01 07:41:26,2023-09-01 07:50:27,M32013,M32012,42.373379,-71.111075,42.366426,-71.105495,,,,,
0BD6343E69015541,2023-09-01 07:41:29,2023-09-01 07:45:52,S32023,M32013,42.381001,-71.104025,42.373379,-71.111075,,,,,
40441A1C7EC1FB3B,2023-09-01 07:41:36,2023-09-01 07:46:49,M32048,D32016,42.365445,-71.082771,42.360793,-71.07119,,,,,
64549F986B582A19,2023-09-01 07:41:49,2023-09-01 07:46:57,M32022,M32011,42.357219,-71.113872,42.36507,-71.1031,,,,,
690F8F87644DC26D,2023-09-01 07:41:59,2023-09-01 07:48:38,M32022,M32009,42.357219,-71.113872,42.363465,-71.100573,,,,,
AAA44934D4DEB26C,2023-09-01 07:42:05,2023-09-01 07:50:26,M32068,A32052,42.382944,-71.124498,42.368019,-71.1242,,,,,
EC9B881DFD37891A,2023-09-01 07:42:15,2023-09-01 07:54:27,B32062,M32061,42.339202,-71.090511,42.361358,-71.096703,,,,,
2DEF8F2E7F059539,2023-09-01 07:42:23,2023-09-01 07:47:07,M32042,M32005,42.355601,-71.103945,42.362131,-71.091156,,,,,
FE8D6C1D920BD262,2023-09-01 07:42:31,2023-09-01 07:48:06,M32037,M32061,42.3625,-71.08822,42.361358,-71.096703,,,,,
3D9A3A47D9037479,2023-09-01 07:42:49,2023-09-01 07:49:13,M32073,A32052,42.368952,-71.109988,42.368019,-71.1242,,,,,
D87702339EC7FD1D,2023-09-01 07:42:56,2023-09-01 07:56:40,B32010,M32027,42.348706,-71.097009,42.366088,-71.086336,,,,,
6323B1B82E467E36,2023-09-01 07:43:10,2023-09-01 07:54:25,B32010,M32080,42.348706,-71.097009,42.362902,-71.091567,,,,,
16E74A1EEA4BE61F,2023-09-01 07:43:10,2023-09-01 07:56:41,S32039,M32007,42.389524,-71.116941,42.372969,-71.094445,,,,,
C3BF107C064AFBD5,2023-09-01 07:43:17,2023-09-01 07:56:04,B32062,M32061,42.339202,-71.090511,42.361358,-71.096703,,,,,
BCA11E3B9890B71C,2023-09-01 07:43:26,2023-09-01 07:56:16,B32032,M32080,42.359825,-71.059796,42.362902,-71.091567,,,,,
B67CB4AF7F4EFEB6,2023-09-01 07:43:40,2023-09-01 07:54:57,M32049,M32072,42.371977,-71.072005,42.363004,-71.08974,,,,,
253B5BCE4B23AF88,2023-09-01 07:43:41,2023-09-01 07:51:56,M32034,D32023,42.369885,-71.069957,42.378338,-71.048927,,,,,
212670B98A0166F2,2023-09-01 07:43:53,2023-09-01 07:55:52,B32032,M32059,42.359825,-71.059796,42.363693,-71.087567,,,,,
39E42B8849E1FFB5,2023-09-01 07:44:22,2023-09-01 07:54:32,S32035,M32081,42.380323,-71.108786,42.37308,-71.086342,,,,,
A15258B051869AEF,2023-09-01 07:44:42,2023-09-01 08:04:41,M32018,D32016,42.373268,-71.118579,42.360793,-71.07119,,,,,
5DFCFA17EA788348,2023-09-01 07:44:44,2023-09-01 08:05:05,M32061,D32000,42.361358,-71.096703,42.361257,-71.065287,,,,,
E5883E3272CDE848,2023-09-01 07:44:46,2023-09-01 08:02:03,A32053,M32005,42.364739,-71.059349,42.362131,-71.091156,,,,,
63174779D38D5172,2023-09-01 07:44:54,2023-09-01 07:57:45,S32005,M32059,42.385676,-71.114121,42.363693,-71.087567,,,,,
80BE4121BC389C80,2023-09-01 07:45:33,2023-09-01 07:50:45,M32026,M32023,42.370803,-71.104412,42.377945,-71.116865,,,,,
95834940D031FB33,2023-09-01 07:46:14,2023-09-01 08:02:23,D32035,M32016,42.34953,-71.130228,42.372217,-71.121881,,,,,
ED72B9B58ED51A61,2023-09-01 07:46:16,2023-09-01 07:49:07,M32025,S32006,42.397828,-71.130516,42.396969,-71.123024,,,,,
D9240930F8CA8E6D,2023-09-01 07:46:34,2023-09-01 07:57:09,M32068,M32033,42.382944,-71.124498,42.396105,-71.139459,,,,,
C97F02BA3F2A7035,2023-09-01 07:46:49,2023-09-01 08:03:05,M32040,A32004,42.362648,-71.100061,42.338629,-71.1065,,,,,
C4A83E7BC34FBD52,2023-09-01 07:46:56,2023-09-01 08:10:05,A32001,M32006,42.353334,-71.137313,42.3581,-71.093198,,,,,
77BA0C6ABFBBB7F4,2023-09-01 07:47:11,2023-09-01 07:58:14,D32024,M32049,42.356052,-71.069849,42.371977,-71.072005,,,,,
